level,grammar_pattern,meaning_en,meaning_vi
N5,cha ikenai / ja ikenai,must not do (spoken Japanese),không được làm (nói tiếng Nhật)
N5,da / desu,"to be (am, is, are, were, used to)","chỉ là (am, is, are, were, used to)"
N5,dake,only; just; as much as ~,chỉ một; chỉ; tôi nghĩ là nhiều như ~
N5,darou,I think; it seems; probably; right?,tôi nghĩ; có vẻ như; có lẽ; phải không?
N5,de,in; at; on; by; with; via ~,TRONG; Tại; TRÊN; qua; với; thông qua ~
N5,demo,but; however; though ~,Nhưng; Tuy nhiên; mặc dù ~
N5,deshou,I think; it seems; probably; right?,tôi nghĩ; có vẻ như; có lẽ; phải không?
N5,donna,what kind of; what sort of,loại gì; tại sao lại là loại
N5,doushite,why; for what reason; how,Tại sao; vì lý do gì; thế nào
N5,douyatte,how; in what way; by what means​,Làm sao; bằng cách nào; bằng cách​
N5,ga,subject marker; however; but ~,điểm đánh dấu chủ đề; Tuy nhiên; nhưng ~
N5,ga arimasu,there is; is (non-living things),có; là (vật không sống)
N5,ga hoshii,to want something,muốn một cái gì đó
N5,ga imasu,there is; to be; is (living things),có; được ; là (sinh vật sống)
N5,hou ga ii,had better; it'd be better to; should ~,đã tốt hơn; sẽ tốt hơn; nên ~
N5,i-adjectives,i-adjectives,i-tính từ
N5,ichiban,the most; the best,nhiều nhất; the best
N5,issho ni,together,cùng nhau
N5,itsumo,always; usually; habitually,luôn luôn; thường xuyên; thói quen
N5,janai / dewa nai,じゃない・ではないto not be (am not; is not; are not),じゃない・ではないkhông tồn tại (không phải; không phải; không phải)
N5,ka,question particle,câu hỏi hạt
N5,ka~ka,or,or
N5,kara,because; since; from,bởi vì; từ; từ
N5,kata,the way of doing something; how to do ~,cách làm điều gì đó; cách làm ~
N5,kedo,but; however; although ~,Nhưng; Tuy nhiên; mặc dù ~
N5,keredo mo,but; however; although ~,Nhưng; Tuy nhiên; mặc dù vẫn còn ~
N5,mada,still; not yet,vẫn; chưa
N5,mada ~te imasen,have not yet ~,vẫn chưa ~
N5,made,until; as far as; to (an extent); even ~,cho đến khi; xa như ; đến (một mức độ); thậm chí ~
N5,mae ni,before; in front of ~,trước; trước ~
N5,masen ka,would you; do you want to; shall we ~,bạn sẽ; bạn có muốn không; chúng ta nhé ~
N5,mashou,let's ~; shall we ~,hãy ~; chúng ta nhé ~
N5,mashouka,shall I ~; used to offer help to the listener,tôi sẽ ~; cũng được sử dụng để đề nghị trợ giúp cho người nghe
N5,mo,too; also; as well,cũng vậy; Mà còn; cũng
N5,mou,already; anymore; again; other,đã; nữa; lại; other
N5,na-adjectives,na-adjectives,na-tính từ
N5,naa,"sentence ending particle; confirmation; admiration, etc","tiểu từ kết thúc câu; xác nhận; ngưỡng mộ, v.v."
N5,naide,without doing ~; to do [B] without doing [A],không làm ~; làm [B] mà không làm [A]
N5,naide kudasai,please don't do ~,làm ơn đừng làm vậy ~
N5,naito ikenai,must do; have an obligation to do ~,phải làm; có nghĩa vụ phải làm ~
N5,naku temo ii,don't have to,không cần phải làm
N5,nakucha,must do; need to; gotta do ~,phải làm; cần phải ; phải làm ~
N5,nakute wa ikenai,must do; need to do,phải làm; cần phải làm
N5,nakute wa naranai,must do; need to do ~,phải làm; cần phải làm ~
N5,naru,to become,to Become
N5,ndesu,to explain something; show emphasis,để giải thích điều gì đó; show nhấn mạnh
N5,ne,isn't it? right? eh?,phải không? Phải? eh?
N5,ni,destination particle; in; at; on; to,hạt đích; TRONG; Tại; TRÊN; to
N5,ni iku,go to do ~,go to do ~
N5,ni suru,to decide on,quyết định on
N5,ni/e,to (indicates direction / destination),to (biểu thị hướng/đích đến)
N5,no,possessive particle,trợ từ sở hữu
N5,no desu,to explain something; show emphasis,để giải thích điều gì đó; thể hiện sự nhấn mạnh
N5,no ga heta,to be bad at doing something,làm việc gì đó dở
N5,no ga jouzu,to be good at,giỏi
N5,no ga suki,to like doing something,thích làm việc gì đó
N5,no naka de [A] ga ichiban,"out of this group, [A] is best","trong nhóm này, [A] là best"
N5,node,because of; given that; since ~,vì ; cho rằng; kể từ ~
N5,o / go,polite marker; honorific prefix particle,điểm đánh dấu lịch sự; tiền tố kính ngữ hạt
N5,o / wo,object marker particle,hạt đánh dấu đối tượng
N5,o kudasai,please give me ~,làm ơn cho tôi ~
N5,shikashi,but; however ~,Nhưng; tuy nhiên ~
N5,sore kara,and; and then; after that; since then,Và; và sau đó; sau đó; kể từ đó
N5,soshite,and; and then; thus; and now ~,Và; và sau đó; do đó; và bây giờ ~
N5,sugiru,too much,quá nhiều
N5,ta koto ga aru,to have done something before,đã làm việc gì đó trước đây
N5,tai,want to do something,muốn làm gì đó
N5,tari~tari,do such things as A and B,làm những việc như A và B
N5,te aru,is/has been done (resulting state),đã/đã được thực hiện (trạng thái kết quả)
N5,te iru,ongoing action or current state,hành động đang diễn ra hoặc trạng thái hiện tại
N5,te kara,after doing ~,sau khi làm ~
N5,te kudasai,please do,làm ơn đừng làm
N5,te wa ikenai,must not; may not; cannot,không được; có thể không; không thể
N5,temo ii desu,is OK to ~; is alright to ~; may I ~?,được ~; được thôi ~; tôi có thể ~?
N5,to,and; with; as; connecting particle,Và; với; BẰNG; kết nối hạt
N5,toki,when; at this time,khi; vào lúc này
N5,totemo,very; awfully; exceedingly​,rất; khủng khiếp ; cực kỳ​
N5,tsumori,plan to ~; intend to ~,dự định ~; dự định ~
N5,wa - topic marker,topic marker,topic marker
N5,wa ~yori... desu,[Noun-1] is more ~ than [Noun-2],[Danh từ-1] nhiều hơn ~ hơn [Danh từ-2]
N5,wa dou desu ka,how about; how is,bạn nghĩ thế nào về
N5,ya,and; or; connecting particle,Và; hoặc; kết nối hạt
N5,yo,you know; emphasis (ending particle),Bạn biết; sự nhấn mạnh (tiểu từ kết thúc)
N5,yori ~hou ga,[2] is more than [1],[2] nhiều hơn [1]
N4,aida,while; during; between ~,trong khi; trong lúc; giữa ~
N4,aida ni,while; during~ something happened,trong khi; trong~ có chuyện gì đó đã xảy ra
N4,amari~nai,"not very, not much ~","không nhiều, không nhiều ~"
N4,ato de,after~; later,sau~; sau
N4,ba,conditional form; If [A] then [B],hình thức có điều kiện; Nếu [A] thì [B]
N4,baai wa,in the event of; in the case that ~,trong trường hợp; chỉ trong trường hợp đó ~
N4,bakari,only; nothing but ~,chỉ một; không có gì ngoài ~
N4,dake de,just by; just by doing,chỉ bằng ; chỉ bằng cách làm
N4,dasu,"to begin to; to start to; to burst into; ... out (e.g. to jump out, to carry out)​","bắt đầu ; bắt đầu ; xông vào; ... out (ví dụ: nhảy ra, biểu diễn)​"
N4,de gozaimasu,to be (honorific),là (kính trọng)
N4,demo,... or something; how about~,... hoặc thứ gì đó; thế còn~
N4,dewa nai ka,right?; isn't it?,Phải?; phải không?
N4,ga hitsuyou,need; necessary,nhu cầu; cần thiết
N4,ga suru,to smell; hear; taste,ngửi; nghe; hương vị
N4,gari,personality (someone tends to; has a tendency to; has a sensitivity to ~),cá tính (ai đó có xu hướng; có xu hướng; nhạy cảm với ~)
N4,garu / gatteiru,"to show signs of; to appear; to feel, to think ~","có dấu hiệu; xuất hiện; cảm nhận, suy nghĩ ~"
N4,gozaimasu,"to be, to exist (the polite form of いる/ある)","tồn tại, tồn tại (dạng lịch sự của いる/ある)"
N4,hajimeru,to start; to begin to ~,bắt đầu; bắt đầu ~
N4,hazu da,it must be; it should be (expectation),nó phải như vậy; lẽ ra phải là (kỳ vọng)
N4,hazu ga nai,はずがないcannot be (impossible),はずがないkhông thể (không thể)
N4,hitsuyou ga aru,need to; it is necessary to,cần phải ; cần phải
N4,ikou kei - volitional form,volitional form​; let's do ~,hình thức ý chí; hãy làm ~
N4,irassharu,to be; to come; to go (polite version),được ; đến ; đi (phiên bản lịch sự)
N4,itashimasu,to do (polite form of する),làm (dạng lịch sự của する)
N4,janai ka,right? isn't it? let's~; confirmation,Phải? phải không? hãy~; xác nhận
N4,ka dou ka,whether or not ~,có hay không ~
N4,ka shira,I wonder (feminine),Tôi tự hỏi (nữ tính)
N4,kai,turns a sentence into a yes/no question,biến một câu thành câu hỏi có/không
